id,pubtime,title,des,content,img,url,time,address,type,gname,nwound,nkill,total
107,2017-07-01 22:47,美国一家夜总会发生枪击事件17人受伤,据美联社消息，美国阿肯色州一家夜总会发生枪击事件，造成17人受伤。,据美联社消息，美国阿肯色州一家夜总会发生枪击事件，造成17人受伤。,http://sputniknews.cn/images/101604/67/1016046707.jpg;http://sputniknews.cn/images/101962/33/1019623304.jpg,http://sputniknews.cn/society/201707011022999587/,,,None,unknown,0,0,"dead:0, hurt:0"
108,2017-11-24 21:40,埃及官媒：清真寺爆炸袭击的死亡人数上升至200人,俄罗斯卫星通讯社开罗11月24日电 据埃及国家电视台援引官方消息人士报道，埃及西奈半岛北部清真寺爆炸袭击中的死亡人数上升至200人，另有120人受伤。,俄罗斯卫星通讯社开罗11月24日电 据埃及国家电视台援引官方消息人士报道，埃及西奈半岛北部清真寺爆炸袭击中的死亡人数上升至200人，另有120人受伤。,http://sputniknews.cn/images/102412/94/1024129406.jpg;http://sputniknews.cn/images/102008/39/1020083973.jpg,http://sputniknews.cn/politics/201711241024128819/,,,None,unknown,0,0,"dead:0, hurt:0"
109,2017-08-25 12:22,缅甸20余处警方路障遭武装分子袭击 致人员伤亡,俄罗斯卫星通讯社莫斯科8月25日电 路透社报道，伊斯兰罗兴亚恐怖分子们对缅甸西部若开邦的警方路障展开配合攻击。,俄罗斯卫星通讯社莫斯科8月25日电 路透社报道，伊斯兰罗兴亚恐怖分子们对缅甸西部若开邦的警方路障展开配合攻击。,http://sputniknews.cn/images/101357/35/1013573551.jpg;http://sputniknews.cn/images/101395/50/1013955083.jpg,http://sputniknews.cn/politics/201708251023441225/,,,None,unknown,0,0,"dead:0, hurt:0"
110,2018-01-03 05:48,美国常驻联合国代表：华盛顿将不会对巴基斯坦提供财政援助,俄罗斯卫星通讯社联合国电 美国常驻联合国代表黑莉表示，美国不会对巴勒斯坦提供财政援助，因为伊斯兰堡的行为“当面一套，背后一套”。,俄罗斯卫星通讯社联合国电 美国常驻联合国代表黑莉表示，美国不会对巴勒斯坦提供财政援助，因为伊斯兰堡的行为“当面一套，背后一套”。,http://sputniknews.cn/images/102176/40/1021764055.jpg;http://sputniknews.cn/images/102346/20/1023462030.jpg,http://sputniknews.cn/politics/201801031024409583/,,,None,unknown,0,0,"dead:0, hurt:0"
111,2017-10-07 17:22,美国司法部指控美国加拿大和菲律宾公民企图组织恐怖袭击,俄罗斯卫星通讯社华盛顿10月7日电 美国司法部10月6日对美国、加拿大和菲律宾公民提出控告，指控这三人企图于2016年夏天在纽约组织恐怖袭击。,俄罗斯卫星通讯社华盛顿10月7日电 美国司法部10月6日对美国、加拿大和菲律宾公民提出控告，指控这三人企图于2016年夏天在纽约组织恐怖袭击。,http://sputniknews.cn/images/102375/87/1023758773.jpg;http://sputniknews.cn/images/101658/68/1016586864.jpg,http://sputniknews.cn/politics/201710071023758791/,,,None,unknown,0,0,"dead:0, hurt:0"
112,2017-08-11 21:46,媒体： 法国激进人群自2015年11月以来增加60%,俄罗斯卫星通讯社巴黎8月11日电 据法国《费加罗报》11日报道，被该国执法部门记录有激进行为嫌疑的人群，较两年前至少增加了60%。,俄罗斯卫星通讯社巴黎8月11日电 据法国《费加罗报》11日报道，被该国执法部门记录有激进行为嫌疑的人群，较两年前至少增加了60%。,http://sputniknews.cn/images/102247/73/1022477385.jpg;http://sputniknews.cn/images/102305/37/1023053719.jpg,http://sputniknews.cn/politics/201708111023341727/,,,None,unknown,0,0,"dead:0, hurt:0"
113,2017-12-01 14:27,媒体：巴基斯坦校园恐袭致9死37伤,俄罗斯卫星通讯社莫斯科12月1日电 据巴基斯坦《黎明报(Dawn)》报道，巴基斯坦大学校园恐袭案造成至少9人遇难37人受伤。,俄罗斯卫星通讯社莫斯科12月1日电 据巴基斯坦《黎明报(Dawn)》报道，巴基斯坦大学校园恐袭案造成至少9人遇难37人受伤。,http://sputniknews.cn/images/102418/05/1024180570.jpg;http://sputniknews.cn/images/102418/03/1024180382.jpg,http://sputniknews.cn/politics/201712011024180621/,,,None,unknown,0,0,"dead:0, hurt:0"
114,2017-08-07 06:58,马杜罗：2名袭击委军事基地者被打死 1人受伤,卫星通讯社加拉加斯8月7日电 委内瑞拉总统马杜罗表示，派拉麦凯（Paramacay）基地的袭击造成2人死亡、1人受伤。,卫星通讯社加拉加斯8月7日电 委内瑞拉总统马杜罗表示，派拉麦凯（Paramacay）基地的袭击造成2人死亡、1人受伤。,http://sputniknews.cn/images/102008/45/1020084506.jpg;http://sputniknews.cn/images/102328/75/1023287588.jpg,http://sputniknews.cn/politics/201708071023295700/,,,None,unknown,0,0,"dead:0, hurt:0"
115,2017-08-23 02:16,加泰罗尼亚恐袭实施者3年前就应该被遣送出境,俄罗斯卫星通讯社莫斯科8月22日电 西班牙世界报（Mundo）援引了解调查情况的消息人士的话报道，巴塞罗那和坎布里尔斯恐袭实施者阿布德尔巴基·艾斯萨迪3年前在其监满出狱后就应该被遣送出境。,俄罗斯卫星通讯社莫斯科8月22日电 西班牙世界报（Mundo）援引了解调查情况的消息人士的话报道，巴塞罗那和坎布里尔斯恐袭实施者阿布德尔巴基·艾斯萨迪3年前在其监满出狱后就应该被遣送出境。,http://sputniknews.cn/images/102339/01/1023390156.jpg;http://sputniknews.cn/images/102340/95/1023409536.jpg,http://sputniknews.cn/politics/201708231023423771/,,,None,unknown,0,0,"dead:0, hurt:0"
116,2017-08-22 19:38,塔利班指责特朗普延长在阿富汗驻军的决定,俄罗斯卫星通讯社莫斯科8月22日电 路透社22日援引激进组织“塔利班运动”发言人的话称，塔利班指责美国总统特朗普延长在阿富汗驻军的决定。,俄罗斯卫星通讯社莫斯科8月22日电 路透社22日援引激进组织“塔利班运动”发言人的话称，塔利班指责美国总统特朗普延长在阿富汗驻军的决定。,http://sputniknews.cn/images/102234/44/1022344409.jpg;http://sputniknews.cn/images/102341/78/1023417859.jpg,http://sputniknews.cn/military/201708221023421411/,,,None,unknown,0,0,"dead:0, hurt:0"
